"Test_Tag (0-OK, 1-Fail)",Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Tag_10,Tag_11,Tag_12,Tag_13,Tag_14,Tag_15,Tag_16,Tag_17,Tag_18,Tag_19,Tag_20,Tag_21,Tag_22,Tag_23,Tag_24,Tag_25,Tag_26,Tag_27,Tag_28,Tag_29,Tag_30,Tag_31,Tag_32,Tag_33,Tag_34,Tag_35,Tag_36,Tag_37,Tag_38,Tag_39,Tag_40,Tag_41,Tag_42,Tag_43,Tag_44,Tag_45,Tag_46,Tag_47,Tag_48,Tag_49,Tag_50,Tag_51,Tag_52,Tag_53,Tag_54,Tag_55,Tag_56,Tag_57,Tag_58,Tag_59,Tag_60,Tag_61,Tag_62,Tag_63,Tag_64,Tag_65,Tag_66,Tag_67,Tag_68,Tag_69,Tag_70,Tag_71,Tag_72,Tag_73,Tag_74,Tag_75,Tag_76,Tag_77,Tag_78,Tag_79,Tag_80,Tag_81,Tag_82,Tag_83,Tag_84,Tag_85,Tag_86,Tag_87,Tag_88,Tag_89,Tag_90,Tag_91,Tag_92,Tag_93,Tag_94,Tag_95,Tag_96,Tag_97,Tag_98,Tag_99,Tag_100,Tag_101,Tag_102,Tag_103,Tag_104,Tag_105,Tag_106,Tag_107,Tag_108,Tag_109,Tag_110,Tag_111,Tag_112,Tag_113,Tag_114,Tag_115,Tag_116,Tag_117,Tag_118,Tag_119,Tag_120,Tag_121,Tag_122,Tag_123,Tag_124,Tag_125,Tag_126,Tag_127,Tag_128,Tag_129,Tag_130,Tag_131,Tag_132,Tag_133,Tag_134,Tag_135,Tag_136,Tag_137,Tag_138,Tag_139,Tag_140,Tag_141,Tag_142,Tag_143,Tag_144,Tag_145,Tag_146,Tag_147,Tag_148,Tag_149,Tag_150,Tag_151,Tag_152,Tag_153,Tag_154,Tag_155,Tag_156,Tag_157,Tag_158,Tag_159,Tag_160,Tag_161,Tag_162,Tag_163,Tag_164,Tag_165,Tag_166,Tag_167,Tag_168,Tag_169,Tag_170,Tag_171,Tag_172,Tag_173,Tag_174,Tag_175,Tag_176,Tag_177,Tag_178,Tag_179,Tag_180,Tag_181,Tag_182,Tag_183,Tag_184,Tag_185,Tag_186,Tag_187,Tag_188,Tag_189,Tag_190,Tag_191,Tag_192,Tag_193,Tag_194,Tag_195,Tag_196,Tag_197,Tag_198,Tag_199,Tag_200,Tag_201,Tag_202,Tag_203,Tag_204,Tag_205,Tag_206,Tag_207,Tag_208,Tag_209,Tag_210,Tag_211,Tag_212,Tag_213,Tag_214,Tag_215,Tag_216,Tag_217,Tag_218,Tag_219,Tag_220,Tag_221,Tag_222,Tag_223,Tag_224,Tag_225,Tag_226,Tag_227,Tag_228,Tag_229,Tag_230,Tag_231,Tag_232,Tag_233,Tag_234
0,0.123322919,Null,7.512122933,7.535995714,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.0421875,24.984375,0,-18.64999962,4,0,42.72885437,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,2.889583389,80,30.30739603,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.021886067,0.099874996,0,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.128281253,0,0,0.156458337,0,0,0.554531263,0,0,0.142968753,0,0,0,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.993749978,0.100000001,0,0.008370536,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.975729156,86400,39.99121857,0,0,4.975729156,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,9.130312729,7.469721866,Null,0.0421875
0,0.134359378,Null,7.513530286,7.536032152,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.046875,24.984375,0,-18.64999962,4,0,42.65151075,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,2.980625057,80,30.68145854,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.013536231,0.099874996,0,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.111302085,0,0,0.183125003,0,0,0.603020846,0,0,0.129895835,0,0,0,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.993020807,0.100000001,0,0.013875,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.979687476,86400,39.99121857,0,0,4.979687476,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,6.897395905,7.496219826,Null,0.046875
0,0.136502605,Null,7.513661575,7.535740439,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.020833333,24.984375,0,-18.64999962,4,0,42.57244778,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,3.006354241,80,30.54088561,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.009262164,0.099874996,Null,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.092916668,0,0,0.174427085,0,0,0.548385428,0,0,0.159375003,0,0,5.21E-05,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.994062477,0.100000001,0,0.014673913,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.97598958,86400,39.99121857,0,0,4.97598958,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,5.642083335,7.51746045,Null,0.020833333
0,0.137867189,Null,7.513617849,7.535703977,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.102272727,24.984375,0,-18.64999962,4,0,42.48843778,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,2.927187554,80,29.4543752,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.014153103,0.099874996,0,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.147864586,0,0,0.252552088,0,0,0.601979178,0,0,0.125520835,0,0,0.00296875,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.993854145,0.100000001,0,0.014756945,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.979166667,86400,39.99121857,0,0,4.979166667,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,7.42000006,7.575122905,Null,0.102272727
0,0.139247398,Null,7.513727156,7.538000933,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.087053571,24.984375,0,-18.64999962,4,0,42.40781275,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,2.905416707,80,30.68989604,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.014659846,0.099874996,Null,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.145572919,0,0,0.29286459,0,0,0.746770849,0,0,0.295885421,0,0,0.00453125,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.994583313,0.100000001,0,0.005625,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.979374989,86400,39.99121857,0,0,4.979374989,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,8.94427104,7.599899991,Null,0.087053571
0,0.138421876,Null,7.517314577,7.54026858,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.076171875,24.984375,0,-18.64999962,4,0,42.33760446,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,3.164687566,80,29.48265645,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.010799448,0.099874996,0,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.132447919,0,0,0.285104172,0,0,0.752552099,0,0,0.251822921,0,0,0,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.994166644,0.100000001,0,0.008890086,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.980468726,86400,39.99121857,0,0,4.980468726,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,8.721771065,7.611581326,Null,0.076171875
0,0.142588544,Null,7.518167647,7.540647769,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.065625,24.984375,0,-18.64999962,4,0,42.24750004,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,3.394270893,80,29.06072928,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.011668487,0.099874996,0,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.190989587,0,0,0.284062505,0,0,0.750937515,0,0,0.241197921,0,0,0.001822917,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.99395831,0.100000001,0,0.009578805,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.977552096,86400,39.99121857,0,0,4.977552096,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,9.864062723,7.647113546,Null,0.065625
0,0.146187502,Null,7.518466584,7.541705092,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.059659091,24.984375,0,-18.64999962,4,0,42.16192722,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,3.691145893,80,29.01932313,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.011744356,0.099874996,0,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.183958337,0,0,0.279427088,0,0,0.747812515,0,0,0.288593753,0,0,0,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.993229141,0.100000001,0,0.012357955,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.975000016,86400,39.99121857,0,0,4.975000016,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,9.852291886,7.713752071,Null,0.059659091
0,0.152208334,Null,7.522557282,7.547436539,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.09375,24.984375,0,-18.64999962,4,0,42.08348974,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,3.724791714,80,28.70562518,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.010104251,0.099874996,0,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.235156254,0,0,0.272552089,0,0,0.684166682,0,0,0.206302086,0,0,5.21E-05,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.993749976,0.100000001,0,0.01263587,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.980052106,86400,39.99121857,0,0,4.980052106,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,8.163854265,7.788243763,Null,0.09375
0,0.161825523,Null,7.527858186,7.554502098,Null,Null,Null,Null,Null,0.239906251,0,0,0,1020,600,0,54,0.09375,24.984375,0,-18.64999962,4,0,42.0027607,70,98,55,604800,604800,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1209600,1209600,0,3.196354226,80,28.73500017,50,108,0.999924958,0.349856228,5400,0,0,4,3.799687386,Null,2.799687386,864,3.296999931,86400,4.59997797,4.549893379,2.00810674,0.099874996,0,0,1.899974942,54,0.300000012,0.150000006,162,0.200000003,149.75,54,432,54,0,0,0,Null,Null,0,0,0,0,0,0.31473959,0,0,0.255729171,0,0,0.705052096,0,0,0.170364586,0,0,0.00171875,169.9968719,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,31.96875,0,0,0,0,1.323437452,1.120000005,1.999374986,2,0,0,1.993645809,0.100000001,0,0.014322917,0,0,40,1.077704668,1.298437476,518400,39.99121857,0,0,4.979687516,86400,39.99121857,0,0,4.979687516,12.19687462,0,11,0,0,0,0,0,799.9874878,300,0,0,0,Null,0.224999994,0,50,0,600,0,0,3,349.96875,349.96875,54,2.550937414,2.424999952,1.479687452,0.028156251,3.379687548,0,1.179956198,81.34687805,6.771041695,7.833816759,Null,0.09375
